fig|1883.2532.peg.108	1883.2532	cds11262_14868	Streptomyces sp CC53	1883.2532.121.1	121.1	1	156..3761	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.109	1883.2532	cds14864_16721	Streptomyces sp CC53	1883.2532.121.1	121.1	1	3758..5614	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.110	1883.2532	cds16924_17707	Streptomyces sp CC53	1883.2532.121.1	121.1	1	5818..6600	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.111	1883.2532	cds17813_18575	Streptomyces sp CC53	1883.2532.121.1	121.1	1	6707..7468	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.112	1883.2532	cds18837_18963	Streptomyces sp CC53	1883.2532.121.1	121.1	1	7731..7856	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.113	1883.2532	cds19246_20485	Streptomyces sp CC53	1883.2532.121.1	121.1	1	8140..9378	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.114	1883.2532	cds21107_22148	Streptomyces sp CC53	1883.2532.121.1	121.1	1	10001..11041	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.115	1883.2532	cds22191_23697	Streptomyces sp CC53	1883.2532.121.1	121.1	1	11085..12590	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.116	1883.2532	cds23889_26796	Streptomyces sp CC53	1883.2532.121.1	121.1	1	12783..15689	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.117	1883.2532	cds26818_27655	Streptomyces sp CC53	1883.2532.121.1	121.1	1	15712..16548	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.118	1883.2532	cds27845_28667	Streptomyces sp CC53	1883.2532.121.1	121.1	1	16739..17560	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.119	1883.2532	cds28775_29372	Streptomyces sp CC53	1883.2532.121.1	121.1	1	17669..18265	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.120	1883.2532	cds29358_29721	Streptomyces sp CC53	1883.2532.121.1	121.1	1	18252..18614	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.121	1883.2532	cds29720_30122	Streptomyces sp CC53	1883.2532.121.1	121.1	1	18614..19015	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.122	1883.2532	cds30118_32437	Streptomyces sp CC53	1883.2532.121.1	121.1	1	19012..21330	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.123	1883.2532	cds32587_32719	Streptomyces sp CC53	1883.2532.121.1	121.1	1	21481..21612	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.124	1883.2532	cds32941_34000	Streptomyces sp CC53	1883.2532.121.1	121.1	1	21835..22893	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.125	1883.2532	cds33996_35664	Streptomyces sp CC53	1883.2532.121.1	121.1	1	22890..24557	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.126	1883.2532	cds35667_36684	Streptomyces sp CC53	1883.2532.121.1	121.1	1	24561..25577	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.127	1883.2532	cds36882_39780	Streptomyces sp CC53	1883.2532.121.1	121.1	1	25776..28673	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.128	1883.2532	cds40196_40994	Streptomyces sp CC53	1883.2532.121.1	121.1	1	29090..29887	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.129	1883.2532	cds41352_42189	Streptomyces sp CC53	1883.2532.121.1	121.1	1	30246..31082	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.130	1883.2532	cds42375_43506	Streptomyces sp CC53	1883.2532.121.1	121.1	1	31269..32399	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.131	1883.2532	cds43606_44227	Streptomyces sp CC53	1883.2532.121.1	121.1	1	32500..33120	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.132	1883.2532	cds44437_45607	Streptomyces sp CC53	1883.2532.121.1	121.1	1	33331..34500	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.133	1883.2532	cds45603_45708	Streptomyces sp CC53	1883.2532.121.1	121.1	1	34497..34601	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.134	1883.2532	cds45987_46347	Streptomyces sp CC53	1883.2532.121.1	121.1	1	34881..35240	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.135	1883.2532	cds47356_47803	Streptomyces sp CC53	1883.2532.121.1	121.1	1	36250..36696	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.136	1883.2532	cds47884_48751	Streptomyces sp CC53	1883.2532.121.1	121.1	1	36778..37644	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.137	1883.2532	cds48912_49869	Streptomyces sp CC53	1883.2532.121.1	121.1	1	37806..38762	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.138	1883.2532	cds49896_50325	Streptomyces sp CC53	1883.2532.121.1	121.1	1	38790..39218	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.139	1883.2532	cds50340_51966	Streptomyces sp CC53	1883.2532.121.1	121.1	1	39234..40859	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.140	1883.2532	cds51962_52958	Streptomyces sp CC53	1883.2532.121.1	121.1	1	40856..41851	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.141	1883.2532	cds52950_53838	Streptomyces sp CC53	1883.2532.121.1	121.1	1	41844..42731	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.142	1883.2532	cds53834_54920	Streptomyces sp CC53	1883.2532.121.1	121.1	1	42728..43813	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.143	1883.2532	cds54903_55551	Streptomyces sp CC53	1883.2532.121.1	121.1	1	43797..44444	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.144	1883.2532	cds55719_55914	Streptomyces sp CC53	1883.2532.121.1	121.1	1	44613..44807	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.145	1883.2532	cds55921_57250	Streptomyces sp CC53	1883.2532.121.1	121.1	1	44815..46143	-	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.146	1883.2532	cds57723_58380	Streptomyces sp CC53	1883.2532.121.1	121.1	1	46617..47273	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.147	1883.2532	cds58648_59242	Streptomyces sp CC53	1883.2532.121.1	121.1	1	47542..48135	+	NRPS-like terpene	NRP	Terpene		herboxidiene	c00121_gi1098..	complete
fig|1883.2532.peg.202	1883.2532	cds5622_7929	Streptomyces sp CC53	1883.2532.170.1	170.1	1	1790..4096	+	melanin	Other			melanin	c00170_gi1098..	complete
fig|1883.2532.peg.203	1883.2532	cds7977_8814	Streptomyces sp CC53	1883.2532.170.1	170.1	1	4145..4981	-	melanin	Other			melanin	c00170_gi1098..	complete
fig|1883.2532.peg.204	1883.2532	cds8833_9238	Streptomyces sp CC53	1883.2532.170.1	170.1	1	5001..5405	-	melanin	Other			melanin	c00170_gi1098..	complete
fig|1883.2532.peg.205	1883.2532	cds9536_10280	Streptomyces sp CC53	1883.2532.170.1	170.1	1	5704..6447	-	melanin	Other			melanin	c00170_gi1098..	complete
fig|1883.2532.peg.206	1883.2532	cds10276_12229	Streptomyces sp CC53	1883.2532.170.1	170.1	1	6444..8396	-	melanin	Other			melanin	c00170_gi1098..	complete
fig|1883.2532.peg.207	1883.2532	cds12230_12962	Streptomyces sp CC53	1883.2532.170.1	170.1	1	8398..9129	-	melanin	Other			melanin	c00170_gi1098..	complete
fig|1883.2532.peg.208	1883.2532	cds13055_13946	Streptomyces sp CC53	1883.2532.170.1	170.1	1	9223..10113	+	melanin	Other			melanin	c00170_gi1098..	complete
fig|1883.2532.peg.2882	1883.2532	cds67077_68679	Streptomyces sp CC53	1883.2532.239.1	239.1	1	1183..2784	+	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.2883	1883.2532	cds68916_69459	Streptomyces sp CC53	1883.2532.239.1	239.1	1	3022..3564	+	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.2884	1883.2532	cds69579_70848	Streptomyces sp CC53	1883.2532.239.1	239.1	1	3685..4953	+	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.2885	1883.2532	cds70895_71294	Streptomyces sp CC53	1883.2532.239.1	239.1	1	5001..5399	+	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.2886	1883.2532	cds71299_72157	Streptomyces sp CC53	1883.2532.239.1	239.1	1	5405..6262	+	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.2887	1883.2532	cds72393_73446	Streptomyces sp CC53	1883.2532.239.1	239.1	1	6499..7551	-	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.2888	1883.2532	cds73684_73999	Streptomyces sp CC53	1883.2532.239.1	239.1	1	7790..8104	-	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.2889	1883.2532	cds74295_75390	Streptomyces sp CC53	1883.2532.239.1	239.1	1	8401..9495	-	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.2890	1883.2532	cds75554_75827	Streptomyces sp CC53	1883.2532.239.1	239.1	1	9660..9932	+	ectoine	Other			ectoine	c00239_gi1098..	complete
fig|1883.2532.peg.318	1883.2532	cds20136_21294	Streptomyces sp CC53	1883.2532.36.1	36.1	1	874..2031	+	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.319	1883.2532	cds21384_21564	Streptomyces sp CC53	1883.2532.36.1	36.1	1	2122..2301	+	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.320	1883.2532	cds21612_22311	Streptomyces sp CC53	1883.2532.36.1	36.1	1	2350..3048	-	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.321	1883.2532	cds22592_23195	Streptomyces sp CC53	1883.2532.36.1	36.1	1	3330..3932	-	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.322	1883.2532	cds23710_25216	Streptomyces sp CC53	1883.2532.36.1	36.1	1	4448..5953	+	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.323	1883.2532	cds25225_26467	Streptomyces sp CC53	1883.2532.36.1	36.1	1	5963..7204	-	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.324	1883.2532	cds26946_28503	Streptomyces sp CC53	1883.2532.36.1	36.1	1	7684..9240	-	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.325	1883.2532	cds28499_29219	Streptomyces sp CC53	1883.2532.36.1	36.1	1	9237..9956	-	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.326	1883.2532	cds29263_30451	Streptomyces sp CC53	1883.2532.36.1	36.1	1	10001..11188	-	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.327	1883.2532	cds30658_32098	Streptomyces sp CC53	1883.2532.36.1	36.1	1	11396..12835	+	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.328	1883.2532	cds32094_33627	Streptomyces sp CC53	1883.2532.36.1	36.1	1	12832..14364	+	terpene	Terpene			carotenoid	c00036_gi1098..	complete
fig|1883.2532.peg.329	1883.2532	cds33623_34628	Streptomyces sp CC53	1883.2532.36.1	36.1	1	14361..15365	+	terpene	Terpene			carotenoid	c00036_gi1098..	complete
